dream,archetype
"I was in a small city, walking around, then suddenly a big horse runs in the streets. The horse run straight to a glass window head first, an begun to bleed heavily from his neck. I said to some friend ""so sad he had to do that, now he's going to die"". It was suprising to me that the horse did not die. I think it transformed to a human (man) who wasn't kind to others, and who others were afraid of- but I wasn't. ;  Background_Info: I don't have a horse and I don't ride. ;  Wakeup_State: __ ###",hero
"I dreamt I was going somewhere with a group of people. It was up a steep road. On the outside, it looked old. All was stone. It celt European, I knew in the dream I was in Italy. We went inside, it was a massive cathedral. Never seen a place like this. But, as I kept walking and looking around, it was all looking familiar. We then went towards a secret back area. Apparently I knew my way around. I found a door and said this is the room. Someone said we need a key. I said the key is hidden at the entrance underground. Luckily, the door was unlocked and we all managed to go in. I kept asking myself why were we here again? I then remembered the room was sound proof.",explorer
"I am among my class fellow i don't remember any of them now but in dream, i knew i am with my graduation class and i was asking who is getting married... and i was feeling like enjoying some wedding party.. later in the dream, i was preparing for some wedding and i was getting ready i couldnt find the eyeshadows kit.. i mean i had the makeup thing with me but those were not colorful.. i asked my sister she said she had none and i was so angry that i knew we had colorful kit at home which i cant find and my sister was getting ready i went to her table to see if she lied to me cause from far it felt she had that kit and when i got near and really focused on the colors those were all shades of golden color some lighter some shinier or bit darker but all golden. so i left the table... but in the dream i expereinced intense rage and i wanted to throw things , at one point i wanted to quit going but i was aware and i tried to control my anger.",lover
"I had a series of dreams that I don't remember but there was a dream series almost like commercials scattered throughout them that stuck out. In the dream series I would look down at my feet, slowly but surely in each dream the two small toes of my left foot got smaller and weaker, my second to last toe slowly but surely shifted out of place until it ultimately was like a loose wart hanging off my big toe. I kicked my foot and it went flying off landing on the ground convulsing. I look back at my toes on my left foot and it looks like I just have three long toes until closer inspection where I see my shriveled little pinky toe was seemingly hiding behind my third toe.. ;  Background_Info: Today is my 39th birthday . ;  Wakeup_State: So I just woke up ( third shifter) from a dream that feels intensely significant, but I'm left stupefied at what it could mean. ###",explorer
"I was flying a white kite with my crush. I thought i was giving her the flying kite but oh, it was fun that i flew it myself with so much lights on the night sky. Sometimes it gets tangled with other kites but i could move it out after all. Then when i was satisfied and decided to release it into the sky. It turns out to be a white parachute and fall on to the drying tree quite neatly.",lover
"I had a dream about twin biracial girls . They were absolutely beautiful around the ages of 10 years old. They had blue eyes and I can remember myself trying to see if I recognized their energy. While the girls talked to me, I noticed they were both extremely different. I can remember talking to them and one of the girls talked about how she was connected to her roots, and although she was biracial she didn't feel any connection to her European side. She identified herself as Black. The other twin explain that she was well connected to her European side and also said she wanted no parts of her African Ancestry Side. This twin identified herself as White . They were both sweet girls , but I reiterate they're completely different. ;  Background_Info: Im not European, however I have European relatives down the line. ;  Wakeup_State: __ ###",everyman
"I dreamed I had to go and pick up an old friend. He was going to be homeless. He told me he was going to break into a jail where his friend was being incarcerated and stay with him. He has a big rucksack, he asks me ""How big do you think the cell is?"" I don't suppose there will be room for him, if all sounds very dodgy and like an impossible idea. I wonder if I shoukd ask him to stay with us but he has no money, no job and no plans, I'm not sure I can host him with such uncertainty. We drive to a small asian corner store. I go inside for a sandwich but it's all very busy with lots of foreign men. The sandwiches look really nice, so many fillings and different breads but they are all in a mess in all the refrigerators. I feel overwhelmed in there.",everyman
"I remember my brother (he has stolen from me and everyone in the past) but he was in my room with the light off and I caught him and we were arguing and he said he was going to tell my boyfriend I was cheating on him, then I can remember my ex at my door with my younger brother. Well in the doorway my other brother (the one in my room) tried to choke me and I pushed him he fell off my porch but then completely changed from my dark head brother to some unknown blonde guy. His neck was broken and he was dead. I was screaming it was an accident, I was hysterically crying.",jester
"I am sorting things on my grandmother's dining table, moving them from a cardboard box into a large trunk. Grandmother has died, and this is either my inheritance, or things that were already mine but kept in her house. My parents are packing up and sorting things in other parts of the house. When my father asks me if I am ready to leave, I ask for more time. He takes note of my short black skirt and asks if it is new. I answer that it is. All of my clothing is black, possibly because I am in mourning. He then goes off to some other part of the house to continue his sorting. I am sitting down on the floor to continue looking at the various objects, loosing myself in memories. My skirt is now a a short red kilt. I adjust my thick black stockings, pulling them up over my knees, more for warmth than anything else. One of the objects I remember is a dark wooden statue of St. Peter holding a key, which I have in fact inherited from my grandmother in waking life. It used to stand in her living room. When my father comes back a couple of hours later, he is noticeable annoyed that I am taking so much time. He is almost done sorting and packing. I tell him that I am now done and we can go. He can either drive me home, or I can take the subway. As he drives me to their house, he continues ranting about how much time I took. At the time we have reached my parents house, I have had enough and start shouting at him that he didn’t have to wait for me. He could just have gone home if he wanted, but now he has gotten more done today than expected, so he should thank me rather than complain. He now looks confused and asks me we he should be grateful to me. I wake up and my cat walks over my chest. As I fall asleep again, I am standing in front of a huge door. I am in a city together with some students. I open the door and enter into a relatively small room. The walls appear to be covered in dark red leather. I know that I am here to see the Queen. As I am waiting to be shown into the next room, I become very self-conscious about the short skirt I am wearing (a miniskirt in dark green leather), and check that it covers me from behind as well. I exit the room through a door to my right. Now I am in a museum of history, together with the students, showing them around an exhibition with black-and-white photographs.",hero
"I was in a small drama amphitheatre. I started with a stumble until I decided to voluntarily take myself down instead of falling. I went on stage and the show began, and had to run backstage in embarrassment because I knew none of the lines to the musical performance. ;  Background_Info: Have had many dreams of falling down the stairs of a theatre. All types of theatres with various types of shows and performances, from movie theatres to massive stadiums. ;  Wakeup_State: __ ###",jester
I somehow pulled a bone out of my nose. It looked like a thin chicken bone not an actual nose bone. But I was babysitting and I had the kids drive me to the ER and the dr took a knife and and peeled back my skin to put the bone back. I was awake. It was the strangest feeling/ dream I’ve had. After like 10 minutes of the dr digging around to put the bone back up there I woke up bc my conscious was like get me tf out of here.,explorer
"I just had a dream about me and my ex/ god cuzzin we're in a hotel but I just came from getting a big bag of popcorn right. And we ran into these guys bad ones and one of the guys. Liked my god cuzzin accept of me right so my cuzzin had a whole another guy with the one of the other guys, gave her about 200 dollars to be with him when she had someone already there what was that all about I guess he liked her. So I ran up to the other guy trying to get me a couple of dollars to n I got a gun put on me and saying they we're going to kill me almost 🔫 whooped me and I ran too go my granny who died but I was running to her in the dream she was alive.",everyman
"Females were upset with me and one female was upset with me saying that “I’m lying like I was her cousin”, and she was my old classmate in reality. I never spoke to the girl in reality she had a reputation for lying. In my dreams other women were upset because of her. Then I remember seeing my cousin on the passenger side of a fire truck and it swung around.",everyman
"I had a series of dreams that I don't remember but there was a dream series almost like commercials scattered throughout them that stuck out. In the dream series I would look down at my feet, slowly but surely in each dream the two small toes of my left foot got smaller and weaker, my second to last toe slowly but surely shifted out of place until it ultimately was like a loose wart hanging off my big toe. I kicked my foot and it went flying off landing on the ground convulsing. I look back at my toes on my left foot and it looks like I just have three long toes until closer inspection where I see my shriveled little pinky toe was seemingly hiding behind my third toe.. ;  Background_Info: Today is my 39th birthday . ;  Wakeup_State: So I just woke up ( third shifter) from a dream that feels intensely significant, but I'm left stupefied at what it could mean. ###",explorer
"Had a dream last night that I took my dad to a hospital for a checkup on his heart, nurse there asked me if I wanted to take a pregnancy test just for fun. I was pregnant. Came back to same hospital for my first appt and dr told me it was an ineffective pregnancy, baby was outside of my uterus and I would pass the baby shortly. I cried so hard, my in-laws picked me up and drove me to the lake side to find peace and calm in my grieving moment.",everyman
"My late husband just screaming bad names at me and is very upset. There is not any violence just a screaming match and I just stand there and take it. In another one, we were out at a park and he was there with someone else and I told him he needed to choose and he chose the other person. Which then led to me screaming at him. One of the things I said was she is only 24! How could you? Then I told him I was going to take everything and I meant everything and then he was like just leave me now. I have had multiple dreams of him having other partners but none ended with him telling me to go. ;  Background_Info: I have had multiple dreams of my late husband. They are not feel good dreams and I remember pieces of them. We had (I think) a stable relationship and we were together for a total of 28 years before he passed away. For the last year of his life I did anything and everything for him, as he was very sick with cancer. These also put me in a funk for a few days after too and makes me grieve for him harder. ;  Wakeup_State: __ ###",lover
"I found out my ex husbands mistress moved two hours to my hometown where I now live and started professionally dancing in the pub here (she’s not a dancer in real life) anyways, I was at the pub with my friends and saw her and got so heated. I went up to her and said she needs to get out of this town and stop showing her face here because if she doesn’t leave, I’m going to tell everyone exactly who she is and exactly what she did to my family and my kids. She responded really rudely saying I forgave a friend for something similar.. and I said “My friend did not sleep with a married man who had adopted children and help to break up a family.” I then went and told friend what she said and friend went and dumped a whole beer on her head. ;  Background_Info: My marriage ended in 2017.. I’ve been on a road of healing ever since and since I firmly believe (with some psychology background under my belt now and knowing what I know about him) that my ex is a narcissist, ;  Wakeup_State: __ ###",rebel
"I was at my work, and had walked to my car. I saw teenagers leaning against my car. One was sitting on my car window. I came closer, he had broken my window. He looked kike he didnt give a care. I grabbed him by his shirt, made him look at the damage, and I told him, "" you see what you did?! You! Are gonna pay for this damage!! Go get paper and a pen, and I want your parents number. DO YOU HEAR WHAT I SAID???"". I was so raged, I was having a hard time texting my manager.",rebel
"So i have this fresh milk in the bottle and i got it from someone who claim its good quality. However (and for unknown reason) I've got the sudden feeling that this is not a pure milk but instead, a poisonous one. But even though i had that weird thought, I still bought it from the store because a friend of mine suddenly showed up and i dont want her to question the store's credibility too. After buying the milk and losing my friend from the mall (since she also have errands to do), i quickly lined up on this another store and asked them to clean the bottle of the milk and scan the beverage for its ingredients or content. Suddenly, this friend of mine also popped up in this store and this time i have the feeling that she's suspicious of the milk's content too. Apparently when the lady that scanned the milk came back, she said that it's 90% milk content so, I quickly reasoned myself out to my friend and said that I just wanted to get the bottle cleaned but deep inside, I still doubt this and thought that I'll just throw it out once im home. After exiting the mall and while walking down the street, i sensed this one man looking suspiciously at us. I grabbed my friend's hand and pulled her to walk faster and exit these streets but more numbers of men got up and chased us. We continuously ran until we reached this street where another group of men is waiting for us. And this time, I couldn't pull my friend to run anymore, she just stopped and stared at them this time.",rebel
"In my dream, I am in the attic of a palatial building that is public, but somehow also mine. A small staircase leads upwards. To the left is the interior of a baroque church. Closer to me on my left, thus also to the left of the way into the church, lay three water scoops; two in polished wood, two in silver. To the right is a way up in the attic. The first thing one sees there is three child sized coffins, one of which contains my fiancé’s infant brother. To my left, in front of the small upwards staircase, is much grander staircase leading downwards into a magnificent light room with grand windows and staircases leader further down into the palace. In its center stands and tall marble statue of the goddess Venus.",everyman
"I was at some kind of archeological dig. The man leading the dig had a daughter, a beautiful woman about my age, and after playing hard to get, she decided she really liked me. Later in the dream, I met another beautiful woman, also my age, who also really liked me. This made the situation difficult, since I had to decide which one to hurt. It wasn't a pleasant choice. In the end, I chose the second woman.  Now, I associate these women with my anima. What does anyone here think about this? Does this indicate some kind of ""split?"" Another detail is that the first woman had dark hair, and the second woman had light hair. Normally, I find dark-haired women more attractive, yet I chose the light-haired one. What do you all think? Why would I have to choose to hurt one? Is this related to my recent re-connection?  Later in the dream, I found myself next to a well. A man standing there said that it was pretty cold. Even though it was cold in my room as I was sleeping, in the dream, I suddenly felt hot. I looked down into the well, and saw ice floating in the water there. I drew up the bucket, and doused myself with it, which was very refreshing.",lover
"I was in a residential neighborhood and seeing a yellow dog. hanging out near me. it was some kind of an exotic variety. after that, I saw a lioness or some kind of large fenine. It came up to me. Me hand was in it's mouth and it was biting down. I understood that it was not to hurt me,. this was affectionate, so I sort of ""snuggled"" with it. In the dream, during this, I was thinking of when i grew up with house cat from my childhood that used to play-bite. I was vaguely conscious of other people watching this and i had communicated to them that the animal was only playing. While the feline tightened it's clamp on my hand/arm, though still not hurting, i still had the sense that thise thing could really do some damage on a whim, while I continued to snuggle.",everyman
"I dreamed my daughter (8yo, high functioning autism) was being mauled by a lion. Every time I'd try to take a step forward to help, the lion would bite again. She kept screaming ""I'm just like my mom"" trying to get it to stop. The look on her face and the screams ""I'm just like my mom"" just will not leave my mind. ;  Background_Info: I usually have very vivid dreams, but I can't shake the one I had last night. Daughter with high functioning autism in dream is 8 years old.  I have had a lot of life changes in the past 3 months (new relationship after being single for years, new job, currently in the middle of moving out of my sisters house and on my own again) and I have anxiety which I'm not currently treating with medication ;  Wakeup_State: I've had 2 pretty severe panic attacks from this dream. ###",caregiver
I was at some yard sale and saw a beautiful carved desk. It was an antique and very detailed. I reach into a small drawer and drew out a big wad of money. Very old money - and I stole it. then I woke up. I wonder what that dream means. ;  Background_Info:  ive had other dreams where I steal jewelry from an old jewelry box. So this dream is kind of a repeat which usually means its important to figure out (or I will keep on having these dreams). ;  Wakeup_State:  Please...im not a thief -\-\ but I had the strong knowledge that I was being very wrong and sneaky. ###,jester
"I was washing at school. The job was to wash the floor and tear off the wallpaper. I had a painting of a pelican on a blue background, a bit amateurish, but very nice (as if a talented 16-year-old had painted it) and the image felt very important and radiated something beautiful and neutral. I washed and tore off strips of wallpaper in large layers, and suddenly I had the picture in my hands and put it up against the window to see it better, but then a tow came and sucked the picture under the window and straight into a van that was located below . I saw the mother in the van let her daughter hold it up in front of her to take a picture of it (to post on Facebook as a fantastic case, I thought) and excitedly I turned to my colleagues and said what had happened. They explained to me that I had to keep tearing strips off the wall, and that we were having a bad time, and that I should concentrate on removing the stickers.",everyman
"I had a dream last night of fire/watch tower it very tall, very black round top. I was hiding with my friends in a small shed with very tall green like grass, we were hiding from a cop? Encon but I kept looking up at the tower before all this I was in the tower but can’t remember much of what I did in there. What could the tower represent the dream switched over to me and my husband in my camper making a bed. I also have been having a lot of dreams of campers/campgrounds.",everyman
"In lastnight’s dream, I was in a school bus and the bus kept wanting to tip over, and once it did the windows smashed and I got glass shards all stuck in my face. Another one was of a ship sinking that I was on, but it usually capsizes or starts tipping over first. The stage where said vehicle/area/building begins tipping and swaying usually lasts a long time before it finally collapses. ;  Background_Info: An ongoing theme I’ve been noticing lately in my nightmares: vertigo.  As in, if I’m standing in a tall building, the building starts swaying back and forth and feels like it’s gonna collapse. And I become really dizzy/disoriented/afraid.  ;  Wakeup_State: __ ###",everyman
I was in my backyard and it was filled with birds an other lil critters . Was laying on the grass and look over to seenthis large monitor lizard and noted its invasive and needs to be captured. I figured id take care of the guy and had moved him to a bucket in my yard while I looked for a cage on my house. When i came back outside all the animals are noisy and tossin a fit. I look to the bucket and some blonde woman who looked very hippish was snickering and waveing her hands around the bucket. So i took off twords her an the lizard was drowned in water. I pulled him out an begin trying to bring him back to life pumpin his chest turnin him upside down an all that. Soon he woke and a held hom close patting his back an sayin i care about you guy. I wont let snyone hurt you. And got into a car an drove off. ;  Background_Info: So had a dream takein a couch nap. ;  Wakeup_State: I woke up to a call ###,hero
"I was at the edge of a river. The river wasn't among greenery, nor in open landscape, but was enclosed, steeped up both sides, perhaps by rock, the other side was vertical as a wall, the side I was on sloped more gradually down to the waters edge. On the far side was a large wooden boat, its hull was standing tall many meters above the waters surface with many life size wooden figures on it like a carved sculpture, the boat was fixed in place, as were the wooden figures. To my right, on the side of the river I was on, was a much smaller boat, and again there were wooden figurines which where positioned in a line as though walking toward the direction of the front of the boat, again fixed still, inanimate, those towards the back of the procession were above the water level, those towards the front progressively submerged as though depicting them walking into and beneath the water. Perhaps they were not actually on the little boat, or perhaps the boat too was submerged at the front, I think the boat was on top of the water, but the procession of wooden figurines were walking into the river in front of the little boat. I noticed a woman unknown to me, who was wearing brown/red earthy colored clothes, and I sat down at the side of the river bank, sitting in the shallow water there, with a sense of some sexual connotation by doing so. ;  Background_Info: I seem to be randomly recalling previous dreams of previously forgotten throughout the days during lockdown at home alone. A number of my recent dreams feature friends from high school, and a general feeling of my own low sense of self worth, inadequacy, failing in life, not living up to my potential. ;  Wakeup_State: __ ###",lover
I think I was in Ireland in my mums sisters bungalow when I spotted my cousin she looked upset and teary I then went upto her to huggef but she was not that huggy only half. I then asked her why she was upset she said because her children were not doing very well. I also notice a girl I work with on this bed. I was then outside when I noticed all my cousins In this car ignoring me and driving of somewhere which I kind of knew what was going to happen.,everyman
"I was there for vacations, in my old house (now sold in real life because the area it was in became too polluted). But my house was also my high-school (which were nowhere near in real life). And I was hiding in my mother's room because I was depressed and wanted nothing to do with school. But I was still a teenager and my partners were still at school. Except my best friend Johnpi, who joined me in my mother's room to investigate... a murder. He needed a calm place to do that, so he skipped school. And he appreciated my help. He asked our classroom's nerd (who wasn't actually the classroom nerd in real-life) to give us copy in the math homework and she agreed. The whole classroom was very supportive of our endeavour, unlike in real-life. To skip gym class, the guys pretended to fall and get hurt to keep the teacher busy so she would not notice our absense. Oh, and this teacher was both the math and the gym teacher, in real life she was a literature teacher I had in university. Fast-forwards, my mother complained I didn't go out enough, and that I should. I was depressed and didn't want to go anywhere, but said I would go out if my other best friend Angel agreed to meet with me. So I called him, told him I was in town, and asked if he would like to meet. He very excitingly accepted. ""Great! Should I bring something?"" I asked, excited too now, wondering if I should bring my Switch so we could play Pokemon. ;  Background_Info: Dream is about old friends (BFFs) in the village I used to live in Mexico when I was a teenager. ;  Wakeup_State: I neither solved the murder nor got to see Angel. But I still had a happy feeling. ###",everyman
"I am sorting things on my grandmother's dining table, moving them from a cardboard box into a large trunk. Grandmother has died, and this is either my inheritance, or things that were already mine but kept in her house. My parents are packing up and sorting things in other parts of the house. When my father asks me if I am ready to leave, I ask for more time. He takes note of my short black skirt and asks if it is new. I answer that it is. All of my clothing is black, possibly because I am in mourning. He then goes off to some other part of the house to continue his sorting. I am sitting down on the floor to continue looking at the various objects, loosing myself in memories. My skirt is now a a short red kilt. I adjust my thick black stockings, pulling them up over my knees, more for warmth than anything else. One of the objects I remember is a dark wooden statue of St. Peter holding a key, which I have in fact inherited from my grandmother in waking life. It used to stand in her living room. When my father comes back a couple of hours later, he is noticeable annoyed that I am taking so much time. He is almost done sorting and packing. I tell him that I am now done and we can go. He can either drive me home, or I can take the subway. As he drives me to their house, he continues ranting about how much time I took. At the time we have reached my parents house, I have had enough and start shouting at him that he didn’t have to wait for me. He could just have gone home if he wanted, but now he has gotten more done today than expected, so he should thank me rather than complain. He now looks confused and asks me we he should be grateful to me. I wake up and my cat walks over my chest. As I fall asleep again, I am standing in front of a huge door. I am in a city together with some students. I open the door and enter into a relatively small room. The walls appear to be covered in dark red leather. I know that I am here to see the Queen. As I am waiting to be shown into the next room, I become very self-conscious about the short skirt I am wearing (a miniskirt in dark green leather), and check that it covers me from behind as well. I exit the room through a door to my right. Now I am in a museum of history, together with the students, showing them around an exhibition with black-and-white photographs.",hero
"I live in a house with terrible bathroom issues. Everytime the toilet is flushed, it overflows and floods the whole bathroom, water will also bubble up from the sink and tub to the point that the whole house floods! ;  Background_Info: Recurring dream. ;  Wakeup_State: __ ###",everyman
"I was living in this big house. It was a home that a very wealthy family would have. Not a flashy like family but one that owns property and...well like Godfather meets YellowStone type of family. I was set to marry a man who was of much older age. I didn't want to. I kept running away and hiding. I would be found and brought back. I was watched and unable to leave the house. One thing I kept doing was hiding away in this one room in the highest part of the house to just stair at this chandelier. One part of the dream I am walking around in circle stair at this chandelier and I see my reflection of me. I am looking how I am not all skinny skinny but I have lost weight and I am satisfied with how my body looks. Slim but thick. And then I look at the chandelier. I go down to the kitchen and all the older women who my mom, grandmother are telling me to stop fussing about the wedding. But I know the man they are having me marry is an older and very fat man. Who I don't know at all. So I run again up to the room and just watch the chandelier. I just want to watch the chandelier and when I close my eyes another man comes to mind but I don't fully see him. I feel him and it feels like the man that I have been in love with for the past few years in real life. But I don't see anyone...just feel them and I keep walking around in circles or sitting and gazing at the chandelier.",lover
I had a dream last night where I was like in the store with my boyfriend and this girl who I don't recognize from real life seem to have a platonic connection to him but also seem to like maybe have had something with him in the past whether she had a crush on him or he had a crush on her or something in the dream.. was like going up to him and like rubbing his back and like touching him and stuff and though it seemed platonic I was like there too and then people kept commenting on how great their chemistry was when they weren't dating and then I was feeling really stupid trying to grab his hand and feeling like I was being pushy or something.. witching like real life this is not how our dynamic act is at all like there's no girl threatening or anything,everyman
I dreamt that his identical brother died. The dream was so vivid. I remember being really worried about Earl. I was looking everywhere for him to see if he was okay. I finally found him and he was just standing there smiling at me. I ran up to him and told him I was sorry about the loss of his brother and he didn't say a word he just kept smiling. I went to hug him and it was one of those really long hugs that you don't want to end. ;  Background_Info: Years ago after I split up with my son's father I started seeing a man named Earl. We had a really good time together. I really liked him. He had problems though and he drank way too much. He would get sloppy drunk almost every day. So I had to break it off with him. I didn't want to but I couldn't help him and at the time I had a 3 year old to care for that didn't need to be around a falling down drunk. It broke his heart when I ended things. He blew my phone up for over a week begging me for another chance. I stood my ground and kept telling him no. One evening my son and I were at a friend's house when he showed up crying drunk still begging me. I was annoyed so I grabbed my son and we went home and went to bed.  ;  Wakeup_State: __ ###,everyman
I was in my sisters house (which in my dream was my house) and a wolf walked in from a storm outside and I pretended to be asleep in the bed because I was afraid it would kill me. The wolf laid down and slept half on top of me. I remember the feeling of being afraid of the wolf despite it not doing anything threatening. I managed to wiggle my hand free and text my sister that I needed her to come and shoot this wolf. She came and shot the wolf dead.,everyman
"Basically, I appear in or near a public bathroom and I have an urge to use it. However, the bathroom is always very disgusting (sometimes pee on the floor, sometimes overflowed toilets etc.). The bathrooms are also quite unusual (without stalls, with a lot of differently shaped urinals and sinks, in the forest, etc.). However, I try to use it anyway and a bodily fluid splashes on me (sometimes mine, sometimes someone elses, sometimes i step into it). I get extremely disgusted by that. ;  Background_Info: Reccuring (8+ times) dream about dirty public bathrooms.  One thing I should note is that I am very sensitive when it comes to hygiene, ;  Wakeup_State: __ ###",everyman
"I was in a house with my partner and as I looked outside, I could see black clouds almost touching the ground passing by in the open field. In the dream, I felt a bit of anxiety, thinking I've never seen such darck clouds ever before. As I looked out the window, I could see a cowboy hearding a beautiful black horse out of the storm's way. The rider looked worryed and he was pushing his horse as hard as he could to get out of the way, but the storm was catching up with him. It felt like he was trying to protect the stallion ahead of him (which looked quite small in comparison). Inside the house, my partner was holding onto a piece of furniture as the house started to shake as the storm was coming closer.",everyman
"At a wedding prep, i found a live puppy burning in the wood stove. It noticed me and got up to approach me, half charcoal, looking at me with blue eyes. I did NOT know what to do, I couldn't determine if it was better it live or die now, but it wasn't my place. I shut the door on it. I asked the 12 year old girl, who cheerily informed me her mother put that puppy in the stove. I could see her at the sink in the kitchen, like a greek matriarch, she was smiling and busy with the guests and family.I am fkd up about the puppy. I have a stomach ache.",jester
"I moved into my cousins house, I can’t stand the oldest one she’s a dictator. I tried organizing my stuff in my other cousins room that I’ll be sharing and I just couldn’t. I had no space and their cat was eating my cats food (uncles allergic to cats so no cats) I was wondering why I had to give up living in my place and my mom said I had to rent it out for extra money. I heard some yelling outside the room and realized it was the cousin I can’t stand and was wondering if I could stay in the storage unit that I put all my furniture in.",rebel
"I was at home in my living room. Interior of the room was so bright that I remember looking at the curtains and the walls but only when I woke up I could understand that I was at home. You could barely see anything. I don't know when it started and how long it lasted, but a voice, a shout came from the unknown. Then a disembodied, disfigured white spirit appeared. He kept claiming that he was a holy being, a prophet, or a God. He spoke very well. The things he said were very nice and peaceful but it felt so bad for some reason, I just wanted to get away from him. It was so scary. After a while, this time I heard a voice inside my own head. The voice told me that ""he"" was the true God, the presence in my hall was a demon, a fraudster, and was trying to deceive me with sweet words. Indeed, when I heard this, I immediately believed the voice because it was incredibly satisfying and in line with my feelings. ;  Background_Info: I am not a religious person, I have neither believed nor feared paranormal beings in my life. ;  Wakeup_State: The dream scared me a lot. ###",everyman
It's gotten to the point where I have trouble sleeping and I wake up gagging. There is a brown horse and he's eating. This is in the middle of a huge city. He's eating a beagle puppy. There's blood and guts and u can see muscles. I can also here the puppy crying and moving. I don't do anything I just watch until I wake up. ;  Background_Info: I have been having this recurring dream for about a month now.  ;  Wakeup_State: __ ###,everyman
"An old coworker came back to town to visit and visited our workplace. My coworkers and old coworker teased me. My old boss was there too but after she had initially smiled at me, she seemed to ignore me mostly afterwards. I asked to leave to run an errand. As I was driving through town I was watching a hawk. As I came around the bend, I thought I saw three more hawks but as one of them came around the tree line, I seen it wasn't a hawk but in fact a massive black bird with a body like the American bald eagle but tail feathers large and shiny like a peacock and a massive wing span as it landed in front of me. It was all black but kinda reminded me of a Phoenix or peacock the size of a bald eagle if not bigger. But it wasn't a peacock or an eagle or any bird I think even exists.",everyman
"Raptors were after us. I was in a big old fashioned hotel of sorts; more like people lived there in many rooms. Raptors are in the hotel and we're trying to find places to hide. (There's a kid with me and I forget who else.) I trying to hide in different places but never find one satisfactory. I try stuffing myself, slat by slat between the wooden slats under the bed and the mattress, but this actually feels very exposed and like the wood might snap, attracting dinosaur. I wanted to be wrapped up in several several blankets and have boxes and things stacked in front of me in a closet, or hide my face amongst stuffed animals like an E.T., but all this moving is making noise and there isn’t adequate stuff to cover me. I'm making noise and time is running out. For all I know I'm attracting the things which are certainly killing people in this huge boarding house/hotel. I cross the hall and chance finding a hiding spot in another room, when I decide on a real solution and slip outside the window and I'm standing on winging bricks that wrap around the building like in a Hitchcock movie. I remember I've dreamed the same dream before and the raptors can scale and climb all over the outside of the building, too. But I don't see any. Finally I decide, screw this place, and run across the lawn toward traffic. Now my lovely friend is there with me and now a raptor is chasing us both. It seems obvious that the raptor is going to catch us, but she yells out that we've beat it before, like everything will be fine, and indeed we make it into traffic. I'm hoping it will be hit. We make it into a parked food truck, where men are working. The fear of raptor-pursuit is greatly reduced. I tell them to take me anywhere but there. Rebecca, on the other hand, confidently tells them to drop her right back off by the front of the lawn and confidently struts back toward the hotel. This is right after I say the words out loud ""take me anywhere but there"". ;  Background_Info: Years ago I'd dream about dinosaurs and the end of the world a lot. I don't know about raptors. There used to be a lot of holding still In the presence of T-Rex. ;  Wakeup_State: I woke up to a blizzard blowing in through the back door then Los Lobos singing La Bamba started playing on my phone. ###",hero
"I had a dream that I had a bunch of puppies in my house & an aggressive dog got in & started taking all the puppies one by one & putting them in a tent in the back garden I was crying & hiding terrified. It was dark & rainy in the garden & every time the dog was bringing one out I was bringing one back in trying to save them but hiding so I wasn’t seen. I was going back & forth when I realised one of the puppies were drowning in a paddling pool that was filling fast with the rain, I tried to save the puppy but I couldn’t, the aggressive dog wouldn’t stop barking at me & biting at my clothes but I was just crying holding this dead pup in the rain.",everyman
"I was attacked by this older man who chased me except I didn't experience it in the dream, I just knew he had caught me after running away and watched him leave my apartment (this is now the 7th night in a row I've been chased by him but not caught until now. It's worth mentioning that I always know I'm dreaming and try to ""wake up"" so that I can make him stop chasing me but I'm always unable and he gets too close for comfort so I run away). Anyways, when he leaves, I escape out my apartment balcony by jumping and land safely, feeling guilty for leaving my dog behind. I sprint to catch the bus and when I board it, I begin to question if I am dreaming. I can't think around the fact that the dream took place in my apartment for a moment, but I work around that by considering that the apartment I just saw was unpainted and I recently painted mine, and that I escaped bgy jumping which would be impossible. I suddenly wake up and can't tell if I'm dreaming or really on the bus so I ask the woman in front of me, ""excuse me Bonnie, where is this bus going?"" Because I knew if she answered then I was obviously dreaming since I could call her anything and have her answer. She said something like, ""Oh well, things are going all over the place these days and I can't hardly ever keep track. I just go for the ride."" I woke up and told the bus to stop, which it did and all the passengers froze. Next, I pointed to the ground and wanted for my dog to be there and he appeared and listened when I told the dream that he needed to be a good boy (he lay down and smiled). Next, I closed my eyes, told the bus to go to a lavender field on a beach instead, and when I opened my eyes the bus pulled up near a beautiful beach where I stepped off, smelt the sea air and lay in the field to relax. I haven't had the horrible dream of being sexually chased since.",everyman
"After walking up a long set of stairs, I reached a road and a bird came down and attacked a small snake hiding in some short grass. At first it looked like the bird had the snake, but the snake twisted out and got free. The bird attacked again, and this time the snake bit the bird as they were struggling. The bird dropped the snake, and the snake bit me, before the bird grabbed it again. I was initially worried, as I've encountered snakes a lot in my last job, but then realised it was probably too small to hurt me. I didn't recognise the species of bird or snake, but the snake wasnt big (30-40cm).",wizard
